UF;GOVERNADOR;DATA;ÓTIMO/BOM;REGULAR;RUIM/PÉSSIMO;NS/NR
MG;EDUARDO AZEREDO;mar/95;40;35;16;9
MG;EDUARDO AZEREDO;jun/95;46;33;10;11
MG;EDUARDO AZEREDO;dez/95;52;31;10;7
MG;EDUARDO AZEREDO;dez/96;49;34;12;6
MG;EDUARDO AZEREDO;jun/97;39;37;16;9
MG;EDUARDO AZEREDO;dez/97;46;34;12;7
MG;EDUARDO AZEREDO;jun/98;42;34;17;7
MG;EDUARDO AZEREDO;ago/98;37;38;19;6
MG;EDUARDO AZEREDO;dez/98;46;29;22;3
MG;ITAMAR FRANCO;jun/99;44;29;20;7
MG;ITAMAR FRANCO;dez/99;47;32;15;5
MG;ITAMAR FRANCO;jun/00;44;32;21;3
MG;ITAMAR FRANCO;dez/00;43;37;17;3
MG;ITAMAR FRANCO;jun/01;49;35;13;2
MG;ITAMAR FRANCO;dez/01;41;37;19;3
MG;ITAMAR FRANCO;jul/02;41;36;20;3
MG;ITAMAR FRANCO;ago/02;35;40;21;4
MG;ITAMAR FRANCO;set/02;37;37;20;6
MG;ITAMAR FRANCO;dez/02;39;33;24;3
MG;AÉCIO NEVES;abr/03;41;39;9;10
MG;AÉCIO NEVES;dez/03;60;25;10;5
MG;AÉCIO NEVES;jul/06;68;22;6;4
MG;AÉCIO NEVES;mar/07;71;19;6;4
MG;ALBERTO PINTO COELHO;ago/14;26;33;10;32


